"tx","ty"
0.836332,0.413568
-0.445143,0.235442
-0.620842,0.331255
-0.613771,0.336164
-0.6067,0.341074
-0.603278,0.34784
-0.599855,0.354606
-0.599032,0.362903
-0.599509,0.371964
-0.599754,0.381009
-0.599533,0.39002
-0.599311,0.39903
-0.342463,0.228017
-0.234862,0.17638
-0.939441,0.705513
-0.585693,0.663462
-0.61145,0.898034
-0.289259,0.60687
-0.0557642,0.138674
-0.223055,0.554691
-0.390344,0.970706
-0.37899,0.973151
-0.367636,0.975595
-0.356371,0.977876
-0.345152,0.980075
-0.339262,0.997867
-0.344032,1.04685
-0.348801,1.09583
-0.199314,0.626185
-0.0498281,0.156545
-0.16821,0.616986
0.105878,0.63697
0.049267,0.158972
0.197066,0.63588
0.344864,1.11279
0.357878,1.11218
0.370893,1.11157
0.383936,1.11042
0.396994,1.10901
0.347742,0.949768
0.17387,0.474883
0.323135,0.730593
0.484696,1.09588
0.555553,1.1022
0.910139,1.34775
0.227532,0.336934
0.494074,0.586861
0.889401,0.776558
0.355759,0.310622
0.22051,0.157288
0.441019,0.314576
0.515239,0.361963
0.516316,0.354401
0.518276,0.34747
0.522001,0.341803
0.525727,0.336136
